image_path,predicted_score
data/processed/wikimedia_commons/images/FR/ns6/40550/File:20230608 CFL 001.jpeg,2.3084412
data/processed/wikimedia_commons/images/UK/ns6/1831/File:Magheramore Road - geograph.org.uk - 742063.jpeg,2.7017787
"data/processed/wikimedia_commons/images/CZ/ns6/1886/File:Praha, Legerova 37 (016).jpeg",2.2365603
"data/processed/wikimedia_commons/images/CZ/ns6/545/File:Brno, Kaleckého 46 a 48.jpeg",2.9212532
data/processed/wikimedia_commons/images/SE/ns6/913/File:Gröna lund stockholm - restaurang tyrol 01.jpeg,2.5202963
data/processed/wikimedia_commons/images/PL/ns6/1410/File:SlubicePalac1.jpeg,2.5311797
"data/processed/wikimedia_commons/images/UK/ns6/265/File:2011 , Crossroads with tractor at Badger's Cross - geograph.org.uk - 2308153.jpeg",2.847369
"data/processed/wikimedia_commons/images/RO/ns6/963/File:Vedere de pe podul Cantemir, aprilie 2014 - panoramio (18).jpeg",2.3636658
"data/processed/wikimedia_commons/images/NL/ns6/1072/File:Vondelpark, Amsterdam (5719295778).jpeg",2.8284087
data/processed/wikimedia_commons/images/CZ/ns6/2589/File:Dolní Bousov - ulice Dubová 02.jpeg,2.376306
"data/processed/wikimedia_commons/images/CZ/ns6/876/File:Obědkovice, č.p. 61.jpeg",2.4568985
data/processed/wikimedia_commons/images/PT/ns6/164/File:Airbus A321-251N ‘CS-TJM’ TAP Air Portugal (53757422182).jpeg,2.141738
data/processed/wikimedia_commons/images/FR/ns6/19393/File:2012-03-28 10-56-19-demolition-1-rue-athenes-belfort 06.jpeg,2.1179972
data/processed/wikimedia_commons/images/DE/ns6/2047/File:Rothenburg ob der Tauber May 2022 KW 37.jpeg,2.6415038
data/processed/wikimedia_commons/images/UK/ns6/1543/File:Newchurch Road - geograph.org.uk - 1315866.jpeg,2.2718947
data/processed/wikimedia_commons/images/DE/ns6/7424/File:Voorstraat38-40 Nieuweschans.jpeg,2.5784464
data/processed/wikimedia_commons/images/UK/ns6/2013/File:University Buildings on Buccleuch Place (geograph 5283480).jpeg,2.0077834
data/processed/wikimedia_commons/images/DK/ns6/171/File:Oelby Kirke Koege Denmark entrance and office wing.jpeg,2.3474112
data/processed/wikimedia_commons/images/UK/ns6/327/File:Access to Blackbushe car auctions - geograph.org.uk - 2561548.jpeg,2.4028983
"data/processed/wikimedia_commons/images/FR/ns6/40831/File:Hélesmes (Nord, Fr) city limit sign.jpeg",2.3324
data/processed/wikimedia_commons/images/UK/ns6/1103/File:Four (52269499842).jpeg,2.1781993
data/processed/wikimedia_commons/images/FR/ns6/28987/File:Allée Anatole France - Bagneux (FR92) - 2023-07-30 - 2.jpeg,2.307679
data/processed/wikimedia_commons/images/CH/ns6/797/File:Gottlieben Altes Schulhaus 20150919.jpeg,2.7894561
data/processed/wikimedia_commons/images/PL/ns6/373/File:Niemcza Polska mury obronne - panoramio (1).jpeg,2.5965543
data/processed/wikimedia_commons/images/EL/ns6/26/File:Get a break (1128401655).jpeg,2.147386
data/processed/wikimedia_commons/images/ES/ns6/2943/File:Palencia en agosto de 2022 104.jpeg,2.4570422
data/processed/wikimedia_commons/images/FR/ns6/4770/File:Sur la place.jpeg,2.293303
"data/processed/wikimedia_commons/images/CZ/ns6/726/File:Tlumačov (ZL), Švermova (2).jpeg",2.7091687
data/processed/wikimedia_commons/images/IT/ns6/1658/File:Gaggiano - Biblioteca 1.jpeg,2.3462021
"data/processed/wikimedia_commons/images/NL/ns6/2708/File:2023 Makkum, Fallaat 36.jpeg",2.6514764
data/processed/wikimedia_commons/images/ES/ns6/4080/File:Un buen día (45076376321).jpeg,2.8987465
data/processed/wikimedia_commons/images/DE/ns6/6284/File:Steuerstraße 1-2 (Neinstedt) 01.jpeg,2.3856125
